Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1117,22,2025-04-04 02:10:00,Crypto.com Arena,Los Angeles Lakers,Golden State Warriors,
1118,22,2025-04-04 23:10:00,Spectrum Center,Charlotte Hornets,Sacramento Kings,
1119,22,2025-04-04 23:10:00,Gainbridge Fieldhouse,Indiana Pacers,Utah Jazz,
1120,22,2025-04-04 23:40:00,TD Garden,Boston Celtics,Phoenix Suns,
1121,22,2025-04-04 23:40:00,Scotiabank Arena,Toronto Raptors,Detroit Pistons,
1122,22,2025-04-05 00:10:00,United Center,Chicago Bulls,Portland Trail Blazers,
1123,22,2025-04-05 00:10:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,
1124,22,2025-04-05 00:10:00,Frost Bank Center,San Antonio Spurs,Cleveland Cavaliers,
1125,22,2025-04-05 02:10:00,Chase Center,Golden State Warriors,Denver Nuggets,
1126,22,2025-04-05 02:40:00,Crypto.com Arena,Los Angeles Lakers,New Orleans Pelicans,
1127,22,2025-04-05 02:40:00,Intuit Dome,LA Clippers,Dallas Mavericks,
1128,22,2025-04-05 19:10:00,State Farm Arena,Atlanta Hawks,New York Knicks,
1129,22,2025-04-05 23:10:00,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies,
1130,22,2025-04-05 23:10:00,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,
1131,22,2025-04-06 00:10:00,Kaseya Center,Miami Heat,Milwaukee Bucks,
1132,22,2025-04-06 02:40:00,Intuit Dome,LA Clippers,Dallas Mavericks,
1133,22,2025-04-06 17:10:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,
1134,22,2025-04-06 19:40:00,Barclays Center,Brooklyn Nets,Toronto Raptors,
1135,22,2025-04-06 19:40:00,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,
1136,22,2025-04-06 22:10:00,State Farm Arena,Atlanta Hawks,Utah Jazz,
1137,22,2025-04-06 22:10:00,TD Garden,Boston Celtics,Washington Wizards,
1138,22,2025-04-06 22:10:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Sacramento Kings,
1139,22,2025-04-06 22:10:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,
1140,22,2025-04-06 23:10:00,Madison Square Garden,New York Knicks,Phoenix Suns,
1141,22,2025-04-06 23:10:00,Smoothie King Center,New Orleans Pelicans,Orlando Magic,
1142,22,2025-04-07 00:10:00,Ball Arena,Denver Nuggets,Indiana Pacers,
1143,22,2025-04-07 00:40:00,Chase Center,Golden State Warriors,Houston Rockets,
1144,22,2025-04-07 23:10:00,Little Caesars Arena,Detroit Pistons,Sacramento Kings,
1145,22,2025-04-07 23:40:00,Kaseya Center,Miami Heat,Philadelphia 76ers,
1146,22,2025-04-08 23:10:00,Spectrum Center,Charlotte Hornets,Memphis Grizzlies,
1147,22,2025-04-08 23:10:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,
1148,22,2025-04-08 23:10:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,
1149,22,2025-04-08 23:10:00,Kia Center,Orlando Magic,Atlanta Hawks,
1150,22,2025-04-08 23:40:00,Barclays Center,Brooklyn Nets,New Orleans Pelicans,
1151,22,2025-04-08 23:40:00,Madison Square Garden,New York Knicks,Boston Celtics,
1152,22,2025-04-09 00:10:00,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,
1153,22,2025-04-09 00:10:00,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,
1154,22,2025-04-09 02:10:00,Footprint Center,Phoenix Suns,Golden State Warriors,
1155,22,2025-04-09 02:40:00,Intuit Dome,LA Clippers,San Antonio Spurs,
1156,23,2025-04-09 23:10:00,Kia Center,Orlando Magic,Boston Celtics,
1157,23,2025-04-09 23:10:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,
